Name,Occurrence,Ambig 3,Ambig 2,Ambig 1,Ambig 0
yun zhang,12,7.74912790724315,7.21498602675988,6.01406812522894,5.4
bin wu,19,7.74875553940295,7.21955812681232,6.02315409436704,1.98
ke wang,96,7.74,7.74,7.74,7.74
zheng chen,54,7.70108567911256,7.28255769642279,6.32352417050678,2.7
xin wu,1,7.69856098003291,7.24821861107673,6.27787478339186,1
jing huang,53,7.68516517110782,7.07485026197955,6.17018863044378,5.7
bo wu,12,7.68344261691417,7.1688861301127,6.04159232118653,2.7
qing yang,73,7.68,7.68,7.68,7.68
hong yan,181,7.68,7.68,7.68,7.68
wei jiang,14,7.65983452152934,7.01494178262378,5.93008284780212,2.46
li zhao,41,7.62992278483142,7.06967888756382,6.0581644582199,3.54
jing xu,13,7.62939734604463,6.98307037736398,6.10741384169901,4.32
yi zhou,21,7.56,7.56,7.56,7.56
xin yao,96,7.56,7.56,7.56,7.56
jun ma,22,7.56,7.56,7.56,7.56
li gong,51,7.56,7.56,7.56,7.56
li yu,16,7.54773145510375,6.99554975763818,5.91155450278877,1.44
ling liu,151,7.54135264320091,7.11020309807717,6.3,6.3
kai wang,35,7.51559537549507,7.06170821498012,6.20024016490361,6
lei huang,16,7.51458281397174,7.01319117592022,5.9870851312876,5.94
dan li,26,7.48270123038524,7.00876094210229,5.96405977258041,5.4
fei chen,16,7.40033498800856,6.90118028471112,5.9574631799326,5.4
wei guo,10,7.38848933336169,6.73907072396904,5.65277004260939,4.86
dong li,12,7.3491550890965,6.91218870342353,5.81376273363795,1.14
jun zhu,7,7.32404233588093,6.75764844805493,5.81629365764666,2.7
jie zhou,41,7.32,7.32,7.32,7.32
jie sun,30,7.32,7.32,7.32,7.32
hong zhou,12,7.31358338384061,6.81753455718441,5.63471236000883,4.62
wei ma,8,7.30153732574323,6.66352101325242,5.55782201134554,1.38
jun lu,9,7.29560589246107,6.7447098951898,5.85312920447629,4.32
ning liu,12,7.28922676385115,6.92367208343931,5.83772448863944,2.16
hong lin,6,7.2749858254583,6.80571400332517,5.59000805572454,2.16
jun sun,37,7.25276341914584,6.68697791150009,5.83510329858094,5.16
dan zhang,13,7.17810880623133,6.69995983394316,5.7733466827852,2.46
chen chen,10,7.17077585227834,6.5250616447495,5.37726847265001,3.78
liang chen,49,7.16047960447293,6.90943868846537,6.36,6.36
zhen wang,4,7.15971976577366,6.76187431189401,5.58796644861938,1.62
feng huang,11,7.15096781552693,6.67871719109277,5.55699155383039,2.7
xiang wang,2,7.1478848918786,6.81561367505994,5.89952851690578,1.08
yan huang,37,7.14496689584943,6.66012209191811,5.79029165088609,4.14
yun chen,8,7.10354861680193,6.62971773868897,5.43947491549268,2.7
wen li,7,7.10339136139617,6.77253908671139,5.64706965408358,1.38
chao wang,33,7.10264297492255,7.02,7.02,7.02
feng xu,6,7.09907642304677,6.59207622054494,5.50045536154496,2.7
yu huang,30,7.09781108299933,6.67647248923464,5.62030771709001,2.76
yan xu,8,7.09311904937398,6.57372234994663,5.73138189027334,2.46
tao huang,21,7.08619345921917,7.02,7.02,7.02
kai li,94,7.08,7.08,7.08,7.08
qi liu,11,7.07912860424965,6.76660272559996,5.89252366937212,2.16
dong zhang,17,7.04999882250911,6.60764250059899,5.62785570108844,4.32
yu xu,7,7.04630542528147,6.58986063852255,5.56312735344924,1.62
tao xu,7,7.03477210542923,6.57930361133863,5.63822082122644,3.24
hao shen,20,7.02,7.02,7.02,7.02
jue wang,36,7.02,7.02,7.02,7.02
